id,full_name,url,stars,forks,commit,openIssue,closedIssue
312144247,edualgo/Grokking-Machine-Learning,https://api.github.com/repos/edualgo/Grokking-Machine-Learning,36,44,166,0,88
78670728,caicloud/tensorflow-tutorial,https://api.github.com/repos/caicloud/tensorflow-tutorial,2949,2153,100,15,88
79976022,keras-team/keras-contrib,https://api.github.com/repos/keras-team/keras-contrib,1536,656,579,152,87
23565243,numenta/htmresearch,https://api.github.com/repos/numenta/htmresearch,224,109,5346,29,86
162747292,tensorflow/privacy,https://api.github.com/repos/tensorflow/privacy,1543,347,598,57,86
44731840,lablup/backend.ai-kernels,https://api.github.com/repos/lablup/backend.ai-kernels,25,12,3156,20,85
135771325,HunterMcGushion/hyperparameter_hunter,https://api.github.com/repos/HunterMcGushion/hyperparameter_hunter,682,91,1096,32,84
34359697,google/earthengine-api,https://api.github.com/repos/google/earthengine-api,1758,790,298,63,84
140285687,osmr/imgclsmob,https://api.github.com/repos/osmr/imgclsmob,2454,499,2476,6,83
178674590,eg4000/SKU110K_CVPR19,https://api.github.com/repos/eg4000/SKU110K_CVPR19,646,161,112,11,83
107431724,Oslandia/deeposlandia,https://api.github.com/repos/Oslandia/deeposlandia,58,15,910,2,82
67353330,esokolov/ml-course-hse,https://api.github.com/repos/esokolov/ml-course-hse,1835,791,748,14,82
124822342,huseinzol05/malaya,https://api.github.com/repos/huseinzol05/malaya,296,102,576,4,82
295811273,cognizant-ai-labs/covid-xprize,https://api.github.com/repos/cognizant-ai-labs/covid-xprize,36,68,470,0,82
50450433,udacity/machine-learning,https://api.github.com/repos/udacity/machine-learning,3635,6324,448,3,82
76486613,keunwoochoi/kapre,https://api.github.com/repos/keunwoochoi/kapre,801,140,194,11,82
91730359,GoogleCloudPlatform/professional-services,https://api.github.com/repos/GoogleCloudPlatform/professional-services,1982,965,1662,45,81
60849305,nfmcclure/tensorflow_cookbook,https://api.github.com/repos/nfmcclure/tensorflow_cookbook,6000,2465,409,18,81
91534719,philipperemy/keract,https://api.github.com/repos/philipperemy/keract,960,185,385,3,81
78865098,udacity/deep-learning,https://api.github.com/repos/udacity/deep-learning,3806,4453,406,1,80
187248482,OSGeo/grass-addons,https://api.github.com/repos/OSGeo/grass-addons,59,97,8200,45,79
180587550,keiohta/tf2rl,https://api.github.com/repos/keiohta/tf2rl,407,92,985,36,79
157565932,eth-sri/eran,https://api.github.com/repos/eth-sri/eran,240,83,493,5,78
81460066,oarriaga/face_classification,https://api.github.com/repos/oarriaga/face_classification,5180,1563,147,40,78
141242285,PreferredAI/cornac,https://api.github.com/repos/PreferredAI/cornac,525,85,1230,8,77
115182783,shaoanlu/faceswap-GAN,https://api.github.com/repos/shaoanlu/faceswap-GAN,3111,814,277,92,76
127351529,mlcommons/training,https://api.github.com/repos/mlcommons/training,1259,446,272,154,76
254741570,adriangb/scikeras,https://api.github.com/repos/adriangb/scikeras,90,17,186,26,76
263364731,mlco2/codecarbon,https://api.github.com/repos/mlco2/codecarbon,353,45,918,45,74
30907774,spmallick/learnopencv,https://api.github.com/repos/spmallick/learnopencv,15627,9850,1525,170,73
91767564,philipperemy/deep-speaker,https://api.github.com/repos/philipperemy/deep-speaker,687,212,344,0,73
167412097,kubeflow-kale/kale,https://api.github.com/repos/kubeflow-kale/kale,480,93,644,78,72
95491035,Hironsan/anago,https://api.github.com/repos/Hironsan/anago,1429,374,298,37,72
52899913,mdbloice/Augmentor,https://api.github.com/repos/mdbloice/Augmentor,4620,840,537,112,70
124682643,stared/livelossplot,https://api.github.com/repos/stared/livelossplot,1156,140,328,4,70
139062293,ahmetozlu/tensorflow_object_counting_api,https://api.github.com/repos/ahmetozlu/tensorflow_object_counting_api,1070,483,147,19,70
67670269,YerevaNN/mimic3-benchmarks,https://api.github.com/repos/YerevaNN/mimic3-benchmarks,545,257,254,28,69
61832342,openeventdata/mordecai,https://api.github.com/repos/openeventdata/mordecai,636,84,233,19,69
130369068,KDD-OpenSource/DeepADoTS,https://api.github.com/repos/KDD-OpenSource/DeepADoTS,418,93,135,8,69
124870610,fizyr/keras-maskrcnn,https://api.github.com/repos/fizyr/keras-maskrcnn,397,131,196,24,68
124370024,xitu/tensorflow-docs,https://api.github.com/repos/xitu/tensorflow-docs,3790,483,1040,2,67
191784463,yongzhuo/Keras-TextClassification,https://api.github.com/repos/yongzhuo/Keras-TextClassification,1222,368,123,1,67
56459948,GoogleCloudPlatform/training-data-analyst,https://api.github.com/repos/GoogleCloudPlatform/training-data-analyst,5793,4622,6624,85,66
144964647,nginyc/rafiki,https://api.github.com/repos/nginyc/rafiki,29,23,1065,38,66
246486004,smousavi05/EQTransformer,https://api.github.com/repos/smousavi05/EQTransformer,143,95,509,15,66
191442873,spoonsso/dannce,https://api.github.com/repos/spoonsso/dannce,102,18,421,5,66
149832847,arogozhnikov/einops,https://api.github.com/repos/arogozhnikov/einops,4273,172,387,30,66
249303697,laike9m/Cyberbrain,https://api.github.com/repos/laike9m/Cyberbrain,2034,114,650,34,65
301446732,secondmind-labs/trieste,https://api.github.com/repos/secondmind-labs/trieste,105,24,277,77,64
74182569,deepgram/kur,https://api.github.com/repos/deepgram/kur,812,109,584,16,63
187989988,kpe/bert-for-tf2,https://api.github.com/repos/kpe/bert-for-tf2,749,179,184,25,63
103403966,kipoi/models,https://api.github.com/repos/kipoi/models,135,49,687,35,62
329117231,intel/openfl,https://api.github.com/repos/intel/openfl,245,64,247,32,61
190687137,rasbt/python-machine-learning-book-3rd-edition,https://api.github.com/repos/rasbt/python-machine-learning-book-3rd-edition,2993,1312,228,14,60
145453331,JohnSnowLabs/spark-nlp-workshop,https://api.github.com/repos/JohnSnowLabs/spark-nlp-workshop,643,377,1739,1,58
204796113,tensorflow/neural-structured-learning,https://api.github.com/repos/tensorflow/neural-structured-learning,894,173,505,1,58
